SKU,Product - English Name,Product - Chinese Name,Date of Sale,Amount Sold
A013,Mushroom Combo,菌类拼盘,2018/01/01,14
A013,Mushroom Combo,菌类拼盘,2018/01/02,7
A013,Mushroom Combo,菌类拼盘,2018/01/03,7
A013,Mushroom Combo,菌类拼盘,2018/01/04,6
A013,Mushroom Combo,菌类拼盘,2018/01/05,15
A013,Mushroom Combo,菌类拼盘,2018/01/06,20
A013,Mushroom Combo,菌类拼盘,2018/01/07,14
A013,Mushroom Combo,菌类拼盘,2018/01/08,9
A013,Mushroom Combo,菌类拼盘,2018/01/09,7
A013,Mushroom Combo,菌类拼盘,2018/01/10,13
A013,Mushroom Combo,菌类拼盘,2018/01/11,7
A013,Mushroom Combo,菌类拼盘,2018/01/12,17
A013,Mushroom Combo,菌类拼盘,2018/01/13,24
A013,Mushroom Combo,菌类拼盘,2018/01/14,7
A013,Mushroom Combo,菌类拼盘,2018/01/15,8
A013,Mushroom Combo,菌类拼盘,2018/01/16,5
A013,Mushroom Combo,菌类拼盘,2018/01/17,9
A013,Mushroom Combo,菌类拼盘,2018/01/18,17
A013,Mushroom Combo,菌类拼盘,2018/01/19,9
A013,Mushroom Combo,菌类拼盘,2018/01/20,13
A013,Mushroom Combo,菌类拼盘,2018/01/21,12
A013,Mushroom Combo,菌类拼盘,2018/01/22,4
A013,Mushroom Combo,菌类拼盘,2018/01/23,8
A013,Mushroom Combo,菌类拼盘,2018/01/24,6
A013,Mushroom Combo,菌类拼盘,2018/01/25,10
A013,Mushroom Combo,菌类拼盘,2018/01/26,19
A013,Mushroom Combo,菌类拼盘,2018/01/27,19
A013,Mushroom Combo,菌类拼盘,2018/01/28,12
A013,Mushroom Combo,菌类拼盘,2018/01/29,9
A013,Mushroom Combo,菌类拼盘,2018/01/30,3
A013,Mushroom Combo,菌类拼盘,2018/01/31,11
A013,Mushroom Combo,菌类拼盘,2018/02/01,5
A013,Mushroom Combo,菌类拼盘,2018/02/02,18
A013,Mushroom Combo,菌类拼盘,2018/02/03,17
A013,Mushroom Combo,菌类拼盘,2018/02/04,12
A013,Mushroom Combo,菌类拼盘,2018/02/05,8
A013,Mushroom Combo,菌类拼盘,2018/02/06,3
A013,Mushroom Combo,菌类拼盘,2018/02/07,8
A013,Mushroom Combo,菌类拼盘,2018/02/08,16
A013,Mushroom Combo,菌类拼盘,2018/02/09,19
A013,Mushroom Combo,菌类拼盘,2018/02/10,19
A013,Mushroom Combo,菌类拼盘,2018/02/11,15
A013,Mushroom Combo,菌类拼盘,2018/02/12,16
A013,Mushroom Combo,菌类拼盘,2018/02/13,7
A013,Mushroom Combo,菌类拼盘,2018/02/14,9
A013,Mushroom Combo,菌类拼盘,2018/02/15,16
A013,Mushroom Combo,菌类拼盘,2018/02/16,19
A013,Mushroom Combo,菌类拼盘,2018/02/17,12
A013,Mushroom Combo,菌类拼盘,2018/02/18,14
A013,Mushroom Combo,菌类拼盘,2018/02/19,12
A013,Mushroom Combo,菌类拼盘,2018/02/20,6
A013,Mushroom Combo,菌类拼盘,2018/02/21,10
A013,Mushroom Combo,菌类拼盘,2018/02/22,13
A013,Mushroom Combo,菌类拼盘,2018/02/23,17
A013,Mushroom Combo,菌类拼盘,2018/02/24,19
A013,Mushroom Combo,菌类拼盘,2018/02/25,13
A013,Mushroom Combo,菌类拼盘,2018/02/26,13
A013,Mushroom Combo,菌类拼盘,2018/02/27,7
A013,Mushroom Combo,菌类拼盘,2018/02/28,13
A013,Mushroom Combo,菌类拼盘,2018/03/01,14
A013,Mushroom Combo,菌类拼盘,2018/03/02,16
A013,Mushroom Combo,菌类拼盘,2018/03/03,12
A013,Mushroom Combo,菌类拼盘,2018/03/04,14
A013,Mushroom Combo,菌类拼盘,2018/03/05,2
A013,Mushroom Combo,菌类拼盘,2018/03/06,6
A013,Mushroom Combo,菌类拼盘,2018/03/07,9
A013,Mushroom Combo,菌类拼盘,2018/03/08,6
A013,Mushroom Combo,菌类拼盘,2018/03/09,15
A013,Mushroom Combo,菌类拼盘,2018/03/10,12
A013,Mushroom Combo,菌类拼盘,2018/03/11,5
A013,Mushroom Combo,菌类拼盘,2018/03/12,5
A013,Mushroom Combo,菌类拼盘,2018/03/13,9
A013,Mushroom Combo,菌类拼盘,2018/03/14,10
A013,Mushroom Combo,菌类拼盘,2018/03/15,10
A013,Mushroom Combo,菌类拼盘,2018/03/16,7
A013,Mushroom Combo,菌类拼盘,2018/03/17,8
A013,Mushroom Combo,菌类拼盘,2018/03/18,11
A013,Mushroom Combo,菌类拼盘,2018/03/19,6
A013,Mushroom Combo,菌类拼盘,2018/03/20,7
A013,Mushroom Combo,菌类拼盘,2018/03/21,5
A013,Mushroom Combo,菌类拼盘,2018/03/22,13
A013,Mushroom Combo,菌类拼盘,2018/03/23,18
A013,Mushroom Combo,菌类拼盘,2018/03/24,17
A013,Mushroom Combo,菌类拼盘,2018/03/25,6
A013,Mushroom Combo,菌类拼盘,2018/03/26,11
A013,Mushroom Combo,菌类拼盘,2018/03/27,6
A013,Mushroom Combo,菌类拼盘,2018/03/28,8
A013,Mushroom Combo,菌类拼盘,2018/03/29,18
A013,Mushroom Combo,菌类拼盘,2018/03/30,18
A013,Mushroom Combo,菌类拼盘,2018/03/31,14
A013,Mushroom Combo,菌类拼盘,2018/04/01,11
A013,Mushroom Combo,菌类拼盘,2018/04/02,6
A013,Mushroom Combo,菌类拼盘,2018/04/03,4
A013,Mushroom Combo,菌类拼盘,2018/04/04,8
A013,Mushroom Combo,菌类拼盘,2018/04/05,6
A013,Mushroom Combo,菌类拼盘,2018/04/06,18
A013,Mushroom Combo,菌类拼盘,2018/04/07,13
A013,Mushroom Combo,菌类拼盘,2018/04/08,12
A013,Mushroom Combo,菌类拼盘,2018/04/09,5
A013,Mushroom Combo,菌类拼盘,2018/04/10,12
A013,Mushroom Combo,菌类拼盘,2018/04/11,4
A013,Mushroom Combo,菌类拼盘,2018/04/12,12
A013,Mushroom Combo,菌类拼盘,2018/04/13,16
A013,Mushroom Combo,菌类拼盘,2018/04/14,8
A013,Mushroom Combo,菌类拼盘,2018/04/15,4
A013,Mushroom Combo,菌类拼盘,2018/04/16,5
A013,Mushroom Combo,菌类拼盘,2018/04/17,6
A013,Mushroom Combo,菌类拼盘,2018/04/18,9
A013,Mushroom Combo,菌类拼盘,2018/04/19,8
A013,Mushroom Combo,菌类拼盘,2018/04/20,12
A013,Mushroom Combo,菌类拼盘,2018/04/21,9
A013,Mushroom Combo,菌类拼盘,2018/04/22,2
A013,Mushroom Combo,菌类拼盘,2018/04/23,1
A013,Mushroom Combo,菌类拼盘,2018/04/24,10
A013,Mushroom Combo,菌类拼盘,2018/04/25,8
A013,Mushroom Combo,菌类拼盘,2018/04/26,12
A013,Mushroom Combo,菌类拼盘,2018/04/27,15
A013,Mushroom Combo,菌类拼盘,2018/04/28,11
A013,Mushroom Combo,菌类拼盘,2018/04/29,8
A013,Mushroom Combo,菌类拼盘,2018/04/30,13
A013,Mushroom Combo,菌类拼盘,2018/05/01,12
A013,Mushroom Combo,菌类拼盘,2018/05/02,3
A013,Mushroom Combo,菌类拼盘,2018/05/03,5
A013,Mushroom Combo,菌类拼盘,2018/05/04,8
A013,Mushroom Combo,菌类拼盘,2018/05/05,9
A013,Mushroom Combo,菌类拼盘,2018/05/06,10
A013,Mushroom Combo,菌类拼盘,2018/05/07,9
A013,Mushroom Combo,菌类拼盘,2018/05/08,4
A013,Mushroom Combo,菌类拼盘,2018/05/09,3
A013,Mushroom Combo,菌类拼盘,2018/05/10,11
A013,Mushroom Combo,菌类拼盘,2018/05/11,12
A013,Mushroom Combo,菌类拼盘,2018/05/12,13
A013,Mushroom Combo,菌类拼盘,2018/05/13,17
A013,Mushroom Combo,菌类拼盘,2018/05/14,5
A013,Mushroom Combo,菌类拼盘,2018/05/15,14
A013,Mushroom Combo,菌类拼盘,2018/05/16,7
A013,Mushroom Combo,菌类拼盘,2018/05/17,9
A013,Mushroom Combo,菌类拼盘,2018/05/18,15
A013,Mushroom Combo,菌类拼盘,2018/05/19,17
A013,Mushroom Combo,菌类拼盘,2018/05/20,13
A013,Mushroom Combo,菌类拼盘,2018/05/21,5
A013,Mushroom Combo,菌类拼盘,2018/05/22,7
A013,Mushroom Combo,菌类拼盘,2018/05/23,4
A013,Mushroom Combo,菌类拼盘,2018/05/24,2
A013,Mushroom Combo,菌类拼盘,2018/05/25,17
A013,Mushroom Combo,菌类拼盘,2018/05/26,11
A013,Mushroom Combo,菌类拼盘,2018/05/27,7
A013,Mushroom Combo,菌类拼盘,2018/05/28,7
A013,Mushroom Combo,菌类拼盘,2018/05/29,10
A013,Mushroom Combo,菌类拼盘,2018/05/30,8
A013,Mushroom Combo,菌类拼盘,2018/05/31,10
A013,Mushroom Combo,菌类拼盘,2018/06/01,11
A013,Mushroom Combo,菌类拼盘,2018/06/02,14
A013,Mushroom Combo,菌类拼盘,2018/06/03,9
A013,Mushroom Combo,菌类拼盘,2018/06/04,9
A013,Mushroom Combo,菌类拼盘,2018/06/05,4
A013,Mushroom Combo,菌类拼盘,2018/06/06,3
A013,Mushroom Combo,菌类拼盘,2018/06/07,9
A013,Mushroom Combo,菌类拼盘,2018/06/08,11
A013,Mushroom Combo,菌类拼盘,2018/06/09,11
A013,Mushroom Combo,菌类拼盘,2018/06/10,9
A013,Mushroom Combo,菌类拼盘,2018/06/11,6
A013,Mushroom Combo,菌类拼盘,2018/06/12,6
A013,Mushroom Combo,菌类拼盘,2018/06/13,7
A013,Mushroom Combo,菌类拼盘,2018/06/14,12
A013,Mushroom Combo,菌类拼盘,2018/06/15,14
